Product_Description,Product_Image,Discounted_Price,Product_Rating
Hp EliteBook 840 G6 Intel Core I5- 16GB RAM/256GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro +MOUSE,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/2100362/1.jpg?5510,"₦ 490,000",1
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/7881943/1.jpg?7148,"₦ 500,000",1
Hp CHROMEBOOK 11 INTEL CELERON 4Gb RAM 32GB WINS 10,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/9059293/1.jpg?8365,"₦ 160,000",0
Hp Stream 11 Laptop- Intel Celeron -TOUCH SCREEN 128GB SSD 4GB RAM Windows 10 PRO +USB Light For Keyboard,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/7770283/1.jpg?6137,"₦ 250,000",1
"DELL Dell, CHROMEBOOK 11 G4, INTEL CELERON, 4GB RAM, 16GB SSD,",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/1084562/1.jpg?3915,"₦ 155,000",0
Hp EliteBook 840 G6 Intel Core I5- 16GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/7152023/1.jpg?3557,"₦ 510,000",1
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/574184/1.jpg?5116,"₦ 560,000",1
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/2222883/1.jpg?6893,"₦ 215,000",0
Hp Stream 11 64GB 4GB,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/9898383/1.jpg?4585,"₦ 135,000",1
"Hp 14 11th Gen Intel Core I3 256GB SSD 8GB RAM 14"" FHD Backlit Keyboard Wins 11+ Mouse",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/5434871/1.jpg?9670,"₦ 651,900",0
Hp EliteBook 840 G6 Intel Core I5- 12GB RAM/256GB SSD/Backlit Keyboard/FP Reader Win 11 Pro Laptop+BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/3507803/1.jpg?9966,"₦ 480,000",0
Lenovo X360 Convertible,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/8499383/1.jpg?2289,"₦ 200,000",1
"DELL Latitude 3180 Intel Celeron 4GB RAM, 128GB SSD Windows 10 + Keyboard Flash Light",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/2975042/1.jpg?1120,"₦ 185,000",0
Hp CHROMEBOOK 11 INTEL CELERON 4Gb RAM 32GB WINS 10+light,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/0353293/1.jpg?8923,"₦ 160,000",0
"DELL LATITUDE 3189,X360 INTEL PENTIUM,TOUCH 8GB RAM,256GB SSD WIN 11 +USB LIGHT",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/4811452/1.jpg?2315,"₦ 299,000",1
DELL Latitude 7490 512GB SSD/16GB RAM/ Intel Core I5/ BACKLIGHT KEYBOARD-WIN 11PRO+BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/2627013/1.jpg?2310,"₦ 700,000",1
Lenovo Ideapad 14-inch - AMD Quad Core 64GB SSD - 4GB RAM Windows 10 + 32GB USB LIGHT,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/795289/1.jpg?8180,"₦ 420,000",1
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Windows 11 Pro,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/6190272/1.jpg?1004,"₦ 569,000",0
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 4GB RAM WIN 10 Pro+ MOUSE & USB LIGHT FOR KEYBOARD,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/5933221/1.jpg?3198,"₦ 220,000",1
Hp EliteBook 845 G7 AMD RYZEN 7 PRO - 4750U-16GB RAM/512GB SSD/Backlit Key/FP Reader Win11 Pro +BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/5288983/1.jpg?5246,"₦ 620,000",1
Hp EliteBook 840 G5 TOUCHSCREEN Core I7-32GB RAM/1TB SSD/Backlit Keyboard/FP Reader WIN 11 Pro+BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/8036443/1.jpg?3167,"₦ 770,000",1
Hp EliteBook 840 G5 TOUCHSCREEN Core I5-16GB RAM/512GB SSD/Backlit Keyboard/Windows 11 Pro+BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/3245013/1.jpg?1515,"₦ 530,000",1
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/6154493/1.jpg?4418,"₦ 145,000",0
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/0374913/1.jpg?3612,"₦ 569,000",0
Hp Stream 11 - Intel Celeron- Education Edition - 4GB RAM - 64GB HDD Windows 10 Pro+ Keyboard USB Light,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/7448603/1.jpg?3935,"₦ 180,000",1
DELL Latitude 7400 TOUCHSCREEN Intel Core I7- 1TB SSD/16GB RAM BACKLIGHT KEYBOARD/WIN 11 PRO+BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/3543403/1.jpg?4006,"₦ 850,000",1
Hp EliteBook 845 G8 - Ryzen 5 Pro 5650U/AMD 2.3 - 16GB RAM/512GB SSD WIN 11 PRO+BAG,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/6310462/1.jpg?0482,"₦ 780,000",1
Hp Stream 11 - Intel Celeron- Education Edition - 4GB RAM - 64GB HDD Windows 10 Pro+ Keyboard USB Light,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/2017943/1.jpg?1167,"₦ 180,000",0
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/7384933/1.jpg?7072,"₦ 270,000",1
